Order No,Time from Pickup to Arrival
Order_No_19248,1628
Order_No_2699,2708
Order_No_21486,1925
Order_No_19336,2123
Order_No_20374,2509
Order_No_9830,1515
Order_No_17505,1514
Order_No_23802,2517
Order_No_12736,1219
Order_No_6400,1971
Order_No_25920,453
Order_No_24873,1845
Order_No_4511,1505
Order_No_13686,2420
Order_No_19317,1994
Order_No_2680,1466
Order_No_7097,1152
Order_No_22701,1398
Order_No_4881,1564
Order_No_6340,1361
Order_No_27915,1023
Order_No_768,1178
Order_No_28256,1677
Order_No_16940,2267
Order_No_4860,1239
Order_No_19055,1089
Order_No_21272,1357
Order_No_2131,1302
Order_No_26647,579
Order_No_15717,2135
Order_No_7499,1178
Order_No_19277,1842
Order_No_21254,3620
Order_No_15403,1189
Order_No_3402,2566
Order_No_20766,655
Order_No_14859,1377
Order_No_7290,1054
Order_No_15168,1723
Order_No_13427,1335
Order_No_20894,2068
Order_No_10827,1868
Order_No_9447,1819
Order_No_15217,2471
Order_No_2361,1635
Order_No_12210,1741
Order_No_15207,2572
Order_No_27745,2261
Order_No_18450,1090
Order_No_21282,1833
Order_No_2842,1006
Order_No_22280,1993
Order_No_15535,2003
Order_No_382,1223
Order_No_21070,1464
Order_No_2603,2840
Order_No_16558,1178
Order_No_24712,1176
Order_No_26578,2202
Order_No_21638,1033
Order_No_22046,1114
Order_No_23183,2047
Order_No_1786,2129
Order_No_17033,1348
Order_No_6084,1718
Order_No_5317,1794
Order_No_15332,973
Order_No_1199,1434
Order_No_21864,2425
Order_No_611,2362
Order_No_18430,2114
Order_No_8474,2175
Order_No_6339,1091
Order_No_14947,727
Order_No_16077,2188
Order_No_21778,534
Order_No_19143,1584
Order_No_25000,2436
Order_No_340,1634
Order_No_8955,1844
Order_No_6197,2096
Order_No_1974,2840
Order_No_22457,2101
Order_No_24241,2290
Order_No_23433,2993
Order_No_21373,1180
Order_No_15311,1221
Order_No_12748,1540
Order_No_11668,1869
Order_No_9978,1743
Order_No_17127,662
Order_No_14906,3014
Order_No_19354,1083
Order_No_15209,523
Order_No_12025,1252
Order_No_26437,1409
Order_No_4137,1301
Order_No_12169,1398
Order_No_104,1324
Order_No_2403,769
Order_No_8736,1182
Order_No_15145,1178
Order_No_25380,1639
Order_No_7545,2726
Order_No_14573,2402
Order_No_24305,1326
Order_No_23769,1381
Order_No_23205,2192
Order_No_20815,1261
Order_No_8308,1016
Order_No_20121,1183
Order_No_20598,1884
Order_No_2574,1898
Order_No_1601,1353
Order_No_19084,1109
Order_No_23351,855
Order_No_17426,1799
Order_No_3798,1284
Order_No_20354,2503
Order_No_24096,1673
Order_No_21215,1693
Order_No_16573,1234
Order_No_6731,2024
Order_No_3166,2391
Order_No_18679,1905
Order_No_23900,2704
Order_No_18436,1525
Order_No_1450,764
Order_No_9797,1734
Order_No_21124,1574
Order_No_27808,1602
Order_No_15877,876
Order_No_14360,1058
Order_No_6247,1055
Order_No_1823,1810
Order_No_8264,1721
Order_No_4106,1785
Order_No_2288,1701
Order_No_26162,873
Order_No_16072,1514
Order_No_24205,286
Order_No_3870,945
Order_No_7297,2019
Order_No_26757,1499
Order_No_27741,1243
Order_No_15767,1467
Order_No_11781,1634
Order_No_8813,791
Order_No_19702,1635
Order_No_6457,1561
Order_No_6180,1450
Order_No_9305,1646
Order_No_16992,1429
Order_No_5873,1317
Order_No_14553,1003
Order_No_4007,2755
Order_No_13713,1412
Order_No_20690,621
Order_No_27131,1559
Order_No_17404,1751
Order_No_1121,1433
Order_No_10915,1684
Order_No_7190,1636
Order_No_26054,507
Order_No_19459,1611
Order_No_11439,1923
Order_No_24422,1370
Order_No_10627,2630
Order_No_9507,1686
Order_No_9063,2398
Order_No_15612,626
Order_No_20974,1716
Order_No_7106,1662
Order_No_21900,1273
Order_No_20501,2341
Order_No_10649,1777
Order_No_14031,762
Order_No_26207,1625
Order_No_24879,1155
Order_No_26211,2037
Order_No_15163,2052
Order_No_8174,1693
Order_No_10670,1354
Order_No_1480,1409
Order_No_7556,1959
Order_No_21894,2019
Order_No_16903,1503
Order_No_20181,1431
Order_No_7301,1057
Order_No_4814,1120
Order_No_25817,1675
Order_No_5155,1208
Order_No_5658,1854
Order_No_7421,359
Order_No_18730,2229
Order_No_20915,765
Order_No_11317,498
Order_No_1571,1506
Order_No_13963,1133
Order_No_25600,2587
Order_No_653,2448
Order_No_21929,1991
Order_No_10722,1483
Order_No_23724,1821
Order_No_16625,1279
Order_No_10125,1171
Order_No_20308,1395
Order_No_4518,1277
Order_No_3406,842
Order_No_605,1621
Order_No_27507,1415
Order_No_9352,1894
Order_No_12374,1362
Order_No_21981,707
Order_No_23293,337
Order_No_10595,1904
Order_No_14569,260
Order_No_22459,1453
Order_No_18244,996
Order_No_22006,988
Order_No_16555,770
Order_No_15352,1291
Order_No_6045,527
Order_No_5785,1194
Order_No_25261,1232
Order_No_16004,1577
Order_No_4666,1075
Order_No_6848,1351
Order_No_16999,1897
Order_No_4454,1443
Order_No_19867,1183
Order_No_8525,830
Order_No_14830,707
Order_No_5166,1480
Order_No_8600,1858
Order_No_1424,763
Order_No_28124,1925
Order_No_202,1957
Order_No_21239,508
Order_No_28220,2427
Order_No_20883,1266
Order_No_25796,671
Order_No_17399,1116
Order_No_6474,1939
Order_No_25744,1470
Order_No_28183,1534
Order_No_14439,1468
Order_No_9133,1442
Order_No_113,781
Order_No_7040,1017
Order_No_18205,1591
Order_No_26927,893
Order_No_13238,1150
Order_No_22130,2229
Order_No_21276,962
Order_No_1805,881
Order_No_22296,1357
Order_No_3341,1341
Order_No_25656,938
Order_No_14258,1304
Order_No_16747,2945
Order_No_17893,2734
Order_No_8127,1288
Order_No_22518,1535
Order_No_23458,2944
Order_No_6376,1553
Order_No_13274,1980
Order_No_15872,1307
Order_No_26843,1417
Order_No_11606,1137
Order_No_17119,1627
Order_No_2920,2631
Order_No_26188,1440
Order_No_6170,1885
Order_No_3297,1382
Order_No_14832,1259
Order_No_3262,2024
Order_No_26825,2225
Order_No_16348,1028
Order_No_19181,538
Order_No_9628,1769
Order_No_12321,621
Order_No_5373,1587
Order_No_11408,1537
Order_No_17595,1573
Order_No_6673,1048
Order_No_24820,1525
Order_No_27980,1052
Order_No_22,1983
Order_No_12144,1604
Order_No_27423,1906
Order_No_27750,601
Order_No_9598,2268
Order_No_24154,1309
Order_No_8101,1605
Order_No_19215,1068
Order_No_13735,1000
Order_No_21382,1453
Order_No_14598,1424
Order_No_18882,1891
Order_No_22210,1329
Order_No_17315,1142
Order_No_15936,677
Order_No_20424,1237
Order_No_8544,1112
Order_No_1945,979
Order_No_15723,1565
Order_No_14246,667
Order_No_17804,825
Order_No_6307,1290
Order_No_21140,1478
Order_No_27783,1221
Order_No_16698,1263
Order_No_4055,2228
Order_No_24360,2262
Order_No_23304,1660
Order_No_18831,629
Order_No_8221,1278
Order_No_17708,851
Order_No_8804,1218
Order_No_1287,1247
Order_No_8582,994
Order_No_22982,1501
Order_No_5673,1286
Order_No_265,1259
Order_No_10919,792
Order_No_25941,904
Order_No_10818,2074
Order_No_7955,1240
Order_No_21808,1036
Order_No_15316,1161
Order_No_4569,1154
Order_No_26467,2007
Order_No_18042,1306
Order_No_1690,716
Order_No_23240,1608
Order_No_6518,1885
Order_No_15554,1530
Order_No_10496,1116
Order_No_14374,1347
Order_No_26952,1487
Order_No_4877,983
Order_No_13214,1405
Order_No_23220,1466
Order_No_8668,1326
Order_No_17800,1283
Order_No_19852,1603
Order_No_27728,1134
Order_No_4520,1543
Order_No_22070,1519
Order_No_8558,1695
Order_No_14907,1229
Order_No_18319,1231
Order_No_16097,2141
Order_No_2417,1160
Order_No_11575,866
Order_No_15,1507
Order_No_4679,804
Order_No_26060,1253
Order_No_15503,322
Order_No_7661,1160
Order_No_1830,1513
Order_No_21557,975
Order_No_13473,559
Order_No_13008,4443
Order_No_18509,1218
Order_No_3829,446
Order_No_6065,1340
Order_No_14799,3000
Order_No_1776,778
Order_No_12463,1583
Order_No_6604,2405
Order_No_1799,2203
Order_No_10157,2011
Order_No_9766,741
Order_No_5814,1244
Order_No_14030,1730
Order_No_13176,533
Order_No_4656,1346
Order_No_5529,1931
Order_No_7690,410
Order_No_19956,2065
Order_No_22252,906
Order_No_10533,1377
Order_No_8881,2940
Order_No_10182,1230
Order_No_13944,1173
Order_No_6048,1548
Order_No_12388,729
Order_No_25071,1550
Order_No_13153,1314
Order_No_25366,1631
Order_No_7696,1497
Order_No_2007,2413
Order_No_19309,1483
Order_No_19227,1162
Order_No_21284,1633
Order_No_23202,1351
Order_No_8939,1765
Order_No_19778,747
Order_No_23557,745
Order_No_4701,1080
Order_No_7447,733
Order_No_27215,1129
Order_No_26093,2240
